000001;19;0;C;0;0;1880,74;0;0;NO;1;0;1;1;1;26358,28;1;32;1;0
000002;7;0;C;0;817;6616,17;0;0;NO;1;995,95;0;1;1;8299,26;1;41;1;0
000003;644;1;A;0;0;615,89;0;0;NO;1;0;1;1;1;3401,09;1;41;1;0
000004;860;1;A;0;986;698,77;114,892;1;NO;1;0;1;1;1;2224,64;1;34;1;2000
000005;704;1;B;0;817;628,45;75,42;1;NO;1;0;1;1;1;26482,62;1;58;1;1000
000006;846;1;A;0;817;502;126;1;SI;0;0;1;1;1;9910,36;1;38;1;2000
000007;609;1;B;0;0;621,25;0;0;NO;1;0;1;1;1;19189,78;1;70;0;0
000008;25;0;C;0;0;13960,41;0;0;NO;1;4898,94;0;1;1;15346,2;1;78;0;0
000009;959;1;AAA;1;0;20;0;0;NO;1;0;1;1;1;669,84;1;81;0;0
000010;16;0;C;0;986;7130,49;0;0;NO;1;1767,02;0;0;1;6761,19;1;42;1;0
000011;956;1;AAA;1;0;987,26;0;0;NO;1;0;1;1;1;13244,45;1;32;1;0
000012;836;1;A;0;817;1454,86;0;0;NO;1;0;1;1;1;27141,96;1;41;1;0
000013;581;1;B;0;1212;966,03;98,388;1;NO;1;0;1;1;1;26096,51;1;39;1;2000
000014;900;1;AA;0;1086;745,73;136,108;1;NO;1;0;1;1;0;11083,02;1;40;1;2000
000015;0;0;Sin Información;0;0;0;0;0;NO;1;NULL;1;1;1;0;1;86;0;0
000016;747;1;B;0;0;2098,14;0;0;NO;1;0;1;1;1;41897,23;0;62;0;0
000017;6;0;C;0;986;3822,57;0;0;NO;1;2793,14;0;1;1;24947,78;1;39;1;0
000018;455;0;C;0;986;591,01;157,996;1;NO;1;765,49;0;1;1;18675,28;1;46;1;3000
000019;25;0;C;0;817;6845,01;0;0;NO;1;2638,19;0;1;1;21305,07;1;42;1;0
000020;464;0;B;0;1212;1072,66;55,736;1;NO;1;0;1;1;1;27558,88;1;45;1;1000
000021;958;1;AAA;1;817;569,6;98,96;1;NO;1;0;1;1;1;9650,81;1;43;1;2000
000022;653;1;A;0;986;623,47;145,012;1;NO;1;0;1;1;1;4023,17;1;42;1;2000
000023;890;1;A;0;817;516,57;120,172;1;NO;1;0;1;1;1;17417,57;1;35;1;2000
000024;7;0;C;0;986;1706,57;0;0;NO;1;0;1;1;1;30248,24;0;47;1;0
000025;954;1;AAA;1;817;398,29;167,484;1;NO;1;0;1;1;1;14309,79;1;36;1;3000
000026;776;1;A;0;986;868,31;47,076;1;NO;1;0;1;1;1;22123,75;1;43;1;500
000027;920;1;AA;0;817;0;326,8;1;NO;1;0;1;1;1;0;1;27;0;5000
000028;16;0;C;0;0;15827,31;0;0;NO;1;293,32;0;0;1;25389,52;1;31;1;0
